Time,0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
1950,   338 387.265,   269 870.197,   260 587.343,   239 320.661,   222 813.664,   196 361.516,   169 079.523,   164 612.801,   147 691.765,   128 598.179,   107 844.300,   88 772.798,   73 520.086,   55 195.268,   37 431.362,   21 923.240,   14 264.753,,,,,
1955,   405 612.155,   315 829.192,   263 322.761,   255 139.141,   232 598.746,   215 933.977,   189 813.987,   162 508.525,   157 247.504,   139 052.956,   120 330.173,   97 764.455,   77 165.656,   59 587.306,   40 480.240,   23 763.081,   16 092.680,,,,,
1960,   432 642.795,   382 144.568,   309 899.807,   258 099.923,   248 821.446,   226 671.391,   209 725.076,   183 445.030,   155 439.101,   149 383.061,   130 574.358,   109 679.482,   85 442.160,   63 083.620,   44 225.916,   25 977.020,   17 957.773,,,,,
1965,   480 601.050,   409 585.332,   374 595.573,   304 687.665,   252 299.729,   243 168.578,   220 658.646,   203 474.679,   176 749.529,   147 822.981,   140 367.060,   120 062.235,   96 469.014,   70 765.076,   47 761.883,   29 549.871,   20 973.787,,,,,
1970,   523 700.776,   460 552.249,   404 504.790,   369 790.429,   298 535.489,   247 288.409,   238 097.846,   215 020.975,   197 631.137,   170 256.654,   139 957.525,   130 792.555,   107 959.785,   82 403.218,   55 628.158,   33 116.843,   25 340.812,,,,,
1975,   543 301.991,   504 504.740,   454 876.148,   399 157.753,   363 876.090,   294 476.242,   243 697.473,   233 648.898,   209 961.254,   191 369.546,   162 923.756,   130 930.699,   118 514.202,   93 205.496,   65 555.904,   39 243.523,   29 843.483,,,,,
1980,   548 178.631,   525 955.325,   499 666.866,   450 927.922,   394 175.563,   358 588.494,   290 245.318,   238 936.769,   228 534.015,   203 561.870,   183 546.628,   153 598.339,   119 715.588,   103 827.932,   75 512.963,   47 618.743,   35 820.568,,,,,
1985,   592 792.343,   532 911.778,   521 394.603,   495 847.435,   445 706.555,   389 310.734,   354 312.796,   285 897.570,   234 302.105,   222 145.575,   195 688.594,   173 269.599,   140 893.358,   104 957.775,   84 815.892,   55 190.301,   44 344.783,,,,,
1990,   644 867.279,   578 146.374,   529 014.542,   517 659.955,   489 977.618,   439 959.936,   384 801.828,   349 288.619,   280 928.705,   228 344.871,   214 163.807,   185 542.125,   159 870.966,   124 700.031,   86 417.436,   63 046.358,,   34 851.456,   14 466.809,   4 033.885,770.805,90.055
1995,   623 061.131,   631 533.678,   575 086.777,   524 909.249,   510 557.774,   483 599.294,   435 192.551,   379 657.166,   343 236.319,   273 827.736,   220 501.967,   203 355.584,   171 754.208,   141 789.660,   103 627.739,   64 804.836,,   40 651.988,   17 832.387,   5 389.093,987.378,117.901
2000,   609 348.362,   611 810.802,   628 087.427,   570 782.227,   518 116.336,   504 533.764,   477 869.296,   429 228.009,   372 780.405,   335 295.540,   265 015.248,   209 904.329,   188 829.930,   153 396.220,   118 770.299,   79 104.481,,   42 485.413,   21 323.121,   6 826.818,   1 348.600,150.362
2005,   623 820.375,   600 035.988,   609 061.917,   624 216.530,   564 207.361,   512 514.211,   498 509.192,   471 537.002,   421 646.296,   363 350.792,   324 801.527,   254 013.017,   196 305.063,   169 596.031,   129 980.883,   91 606.737,,   53 373.437,   23 061.075,   8 524.613,   1 784.753,212.583
2010,   651 602.453,   615 729.550,   597 092.132,   605 026.371,   616 945.974,   558 709.614,   507 031.495,   493 028.402,   464 414.976,   413 751.253,   353 724.398,   311 699.270,   237 763.391,   177 953.315,   145 308.797,   101 812.375,,   63 804.385,   30 343.546,   9 740.413,   2 385.612,301.437
2015,   673 649.680,   644 475.619,   612 407.052,   593 638.752,   600 866.814,   612 402.715,   553 199.652,   500 816.627,   486 172.346,   455 906.439,   403 243.381,   340 227.942,   294 104.635,   216 505.622,   153 908.373,   115 531.676,,   71 830.934,   37 295.064,   13 475.354,   2 916.508,433.635
2020,   679 612.530,   666 841.000,   641 192.735,   609 124.674,   589 814.404,   597 465.788,   607 918.156,   547 172.503,   493 867.933,   477 670.873,   444 954.749,   388 924.170,   321 542.713,   269 387.623,   188 816.847,   123 909.767,,   82 552.016,   42 919.103,   17 021.922,   4 191.966,580.837
